Model,Dataset,Metric,Fold,Value,Mean
Adaboost,MC1,Train AUC mean,1,0.9748963576567461,0.97
Adaboost,MC1,Train AUC mean,2,0.961826740129977,0.97
Adaboost,MC1,Train AUC mean,3,0.9792286022298199,0.97
Adaboost,MC1,Train AUC mean,4,0.9810763815183254,0.97
Adaboost,MC1,Train AUC mean,5,0.9529719184651316,0.97
Adaboost,MC1,AUC mean,1,0.942076700833836,0.95
Adaboost,MC1,AUC mean,2,0.9557263278695319,0.95
Adaboost,MC1,AUC mean,3,0.9514875286618394,0.95
Adaboost,MC1,AUC mean,4,0.9543457153737331,0.95
Adaboost,MC1,AUC mean,5,0.9463637272610593,0.95
Adaboost,MC1,F1 mean,1,0.13027869545949028,0.13
Adaboost,MC1,F1 mean,2,0.13014747835734672,0.13
Adaboost,MC1,F1 mean,3,0.12922828843938997,0.13
Adaboost,MC1,F1 mean,4,0.13059876768043252,0.13
Adaboost,MC1,F1 mean,5,0.12974677006334054,0.13
Adaboost,MC1,Precision mean,1,0.06948478146221881,0.07
Adaboost,MC1,Precision mean,2,0.07034548055103278,0.07
Adaboost,MC1,Precision mean,3,0.06941498168831299,0.07
Adaboost,MC1,Precision mean,4,0.07070271382529099,0.07
Adaboost,MC1,Precision mean,5,0.07005204247314448,0.07
Adaboost,MC1,Recall mean,1,0.6490919242263508,0.65
Adaboost,MC1,Recall mean,2,0.6458660287500367,0.65
Adaboost,MC1,Recall mean,3,0.658244187088163,0.65
Adaboost,MC1,Recall mean,4,0.6492891771568291,0.65
Adaboost,MC1,Recall mean,5,0.6475086827786207,0.65
Adaboost,MC1,Generalizability mean,1,0.9937177720738269,1.0
Adaboost,MC1,Generalizability mean,2,1.0025376946321432,1.0
Adaboost,MC1,Generalizability mean,3,1.000873666666737,1.0
Adaboost,MC1,Generalizability mean,4,1.001345241939487,1.0
Adaboost,MC1,Generalizability mean,5,1.0015256246878057,1.0
Adaboost,MC1,Concordance mean,1,0.6523689318893074,0.64
Adaboost,MC1,Concordance mean,2,0.6360946997122302,0.64
Adaboost,MC1,Concordance mean,3,0.6354187882352623,0.64
Adaboost,MC1,Concordance mean,4,0.6334929449762626,0.64
Adaboost,MC1,Concordance mean,5,0.6426246351869376,0.64
Adaboost,MC1,Stability,1,0.7180142960704796,0.71
Adaboost,MC1,Stability,2,0.7091895831380178,0.71
Adaboost,MC1,Stability,3,0.7040335092061191,0.71
Adaboost,MC1,Stability,4,0.7041448033430242,0.71
Adaboost,MC1,Stability,5,0.7146178082423591,0.71
Adaboost,MC1,Reliability Index,1,0.8948793510240766,0.89
Adaboost,MC1,Reliability Index,2,0.8931019092219559,0.89
Adaboost,MC1,Reliability Index,3,0.8823656227779271,0.89
Adaboost,MC1,Reliability Index,4,0.8903394298152937,0.89
Adaboost,MC1,Reliability Index,5,0.8893136871607469,0.89
Adaboost,MC2,Train AUC mean,1,0.9880936649906679,0.99
Adaboost,MC2,Train AUC mean,2,0.9945292754239956,0.99
Adaboost,MC2,Train AUC mean,3,0.9881420444725652,0.99
Adaboost,MC2,Train AUC mean,4,0.9926311956656482,0.99
Adaboost,MC2,Train AUC mean,5,0.9866038194471234,0.99
Adaboost,MC2,AUC mean,1,0.7240028621771308,0.72
Adaboost,MC2,AUC mean,2,0.7264730325374718,0.72
Adaboost,MC2,AUC mean,3,0.7113962278387643,0.72
Adaboost,MC2,AUC mean,4,0.7196079073664441,0.72
Adaboost,MC2,AUC mean,5,0.718519970080189,0.72
Adaboost,MC2,F1 mean,1,0.506050085647985,0.51
Adaboost,MC2,F1 mean,2,0.5079026052858207,0.51
Adaboost,MC2,F1 mean,3,0.5169177101778468,0.51
Adaboost,MC2,F1 mean,4,0.5048942037704063,0.51
Adaboost,MC2,F1 mean,5,0.5142353951179414,0.51
Adaboost,MC2,Precision mean,1,0.5413478763319993,0.55
Adaboost,MC2,Precision mean,2,0.548770068939882,0.55
Adaboost,MC2,Precision mean,3,0.5515101339248293,0.55
Adaboost,MC2,Precision mean,4,0.5538418149599257,0.55
Adaboost,MC2,Precision mean,5,0.5545301058433638,0.55
Adaboost,MC2,Recall mean,1,0.5033134937193406,0.5
Adaboost,MC2,Recall mean,2,0.49761053396148475,0.5
Adaboost,MC2,Recall mean,3,0.49704313677505074,0.5
Adaboost,MC2,Recall mean,4,0.5036362180908759,0.5
Adaboost,MC2,Recall mean,5,0.4983966174532475,0.5
Adaboost,MC2,Generalizability mean,1,0.992580918013989,1.0
Adaboost,MC2,Generalizability mean,2,0.9940126082775494,1.0
Adaboost,MC2,Generalizability mean,3,0.9961625190871064,1.0
Adaboost,MC2,Generalizability mean,4,1.0104052421760523,1.0
Adaboost,MC2,Generalizability mean,5,1.0068387124453029,1.0
Adaboost,MC2,Concordance mean,1,0.3921141196940911,0.39
Adaboost,MC2,Concordance mean,2,0.387761366298018,0.39
Adaboost,MC2,Concordance mean,3,0.3900425892546919,0.39
Adaboost,MC2,Concordance mean,4,0.39186140236868655,0.39
Adaboost,MC2,Concordance mean,5,0.3882205223845125,0.39
Adaboost,MC2,Stability,1,0.5044487503752016,0.5
Adaboost,MC2,Stability,2,0.49883113613001345,0.5
Adaboost,MC2,Stability,3,0.500331937387438,0.5
Adaboost,MC2,Stability,4,0.5002381145033432,0.5
Adaboost,MC2,Stability,5,0.49615006160400366,0.5
Adaboost,MC2,Reliability Index,1,0.8123890087044915,0.81
Adaboost,MC2,Reliability Index,2,0.8046571766710288,0.81
Adaboost,MC2,Reliability Index,3,0.8085530785666056,0.81
Adaboost,MC2,Reliability Index,4,0.8123386759186554,0.81
Adaboost,MC2,Reliability Index,5,0.8120620601392192,0.81
Adaboost,MW1,Train AUC mean,1,0.9796350150981781,0.97
Adaboost,MW1,Train AUC mean,2,0.9722013339021153,0.97
Adaboost,MW1,Train AUC mean,3,0.9690403861854636,0.97
Adaboost,MW1,Train AUC mean,4,0.9723839694559311,0.97
Adaboost,MW1,Train AUC mean,5,0.9567392953583113,0.97
Adaboost,MW1,AUC mean,1,0.7753381965818589,0.78
Adaboost,MW1,AUC mean,2,0.7763169811205691,0.78
Adaboost,MW1,AUC mean,3,0.778877392910962,0.78
Adaboost,MW1,AUC mean,4,0.7898680783390686,0.78
Adaboost,MW1,AUC mean,5,0.7795993510475422,0.78
Adaboost,MW1,F1 mean,1,0.29864529150232444,0.3
Adaboost,MW1,F1 mean,2,0.3036737560714354,0.3
Adaboost,MW1,F1 mean,3,0.29871093884295385,0.3
Adaboost,MW1,F1 mean,4,0.30198985958760444,0.3
Adaboost,MW1,F1 mean,5,0.29698015399568184,0.3
Adaboost,MW1,Precision mean,1,0.2506803993413699,0.25
Adaboost,MW1,Precision mean,2,0.24881002950864123,0.25
Adaboost,MW1,Precision mean,3,0.25034481214111404,0.25
Adaboost,MW1,Precision mean,4,0.2533072754165629,0.25
Adaboost,MW1,Precision mean,5,0.2468574835923118,0.25
Adaboost,MW1,Recall mean,1,0.42292072134725217,0.42
Adaboost,MW1,Recall mean,2,0.4220924849194148,0.42
Adaboost,MW1,Recall mean,3,0.41858948637054405,0.42
Adaboost,MW1,Recall mean,4,0.4150021754669159,0.42
Adaboost,MW1,Recall mean,5,0.4213951318958729,0.42
Adaboost,MW1,Generalizability mean,1,0.9925463661271958,1.0
Adaboost,MW1,Generalizability mean,2,1.0001515147580746,1.0
Adaboost,MW1,Generalizability mean,3,0.9980478493990456,1.0
Adaboost,MW1,Generalizability mean,4,1.0138128293212032,1.0
Adaboost,MW1,Generalizability mean,5,0.9954414403944799,1.0
Adaboost,MW1,Concordance mean,1,0.6512000524654928,0.66
Adaboost,MW1,Concordance mean,2,0.6591135056987449,0.66
Adaboost,MW1,Concordance mean,3,0.6593814233214488,0.66
Adaboost,MW1,Concordance mean,4,0.6668765474101895,0.66
Adaboost,MW1,Concordance mean,5,0.6634284711041241,0.66
Adaboost,MW1,Stability,1,0.5127788533033767,0.51
Adaboost,MW1,Stability,2,0.5184322265116033,0.51
Adaboost,MW1,Stability,3,0.5048813523154693,0.51
Adaboost,MW1,Stability,4,0.5076865563389852,0.51
Adaboost,MW1,Stability,5,0.506221011530566,0.51
Adaboost,MW1,Reliability Index,1,0.8615141118011135,0.86
Adaboost,MW1,Reliability Index,2,0.8529787611946783,0.86
Adaboost,MW1,Reliability Index,3,0.87037884891683,0.86
Adaboost,MW1,Reliability Index,4,0.8629635484153664,0.86
Adaboost,MW1,Reliability Index,5,0.8521647296720114,0.86
Adaboost,CM1,Train AUC mean,1,0.930955576076731,0.95
Adaboost,CM1,Train AUC mean,2,0.9434557903687677,0.95
Adaboost,CM1,Train AUC mean,3,0.9483898106200855,0.95
Adaboost,CM1,Train AUC mean,4,0.9592865673591153,0.95
Adaboost,CM1,Train AUC mean,5,0.9679122555752998,0.95
Adaboost,CM1,AUC mean,1,0.7378245970907261,0.73
Adaboost,CM1,AUC mean,2,0.7275086768587379,0.73
Adaboost,CM1,AUC mean,3,0.7191137599529019,0.73
Adaboost,CM1,AUC mean,4,0.7367466903250744,0.73
Adaboost,CM1,AUC mean,5,0.7288062757725587,0.73
Adaboost,CM1,F1 mean,1,0.29872119802331265,0.3
Adaboost,CM1,F1 mean,2,0.2981310440684868,0.3
Adaboost,CM1,F1 mean,3,0.2995448069036675,0.3
Adaboost,CM1,F1 mean,4,0.30316472362931113,0.3
Adaboost,CM1,F1 mean,5,0.3004382273752219,0.3
Adaboost,CM1,Precision mean,1,0.25131692284789436,0.25
Adaboost,CM1,Precision mean,2,0.24910932387491092,0.25
Adaboost,CM1,Precision mean,3,0.24750078366864708,0.25
