Model,Train,Test,Metric,Fold,Value,Mean
adaboost,pc1,pc2,AUC_mean,1,0.734,0.794
adaboost,pc1,pc2,AUC_mean,2,0.764,0.794
adaboost,pc1,pc2,AUC_mean,3,0.794,0.794
adaboost,pc1,pc2,AUC_mean,4,0.824,0.794
adaboost,pc1,pc2,AUC_mean,5,0.854,0.794
adaboost,pc1,pc2,F1_mean,1,0.024,0.048
adaboost,pc1,pc2,F1_mean,2,0.036,0.048
adaboost,pc1,pc2,F1_mean,3,0.048,0.048
adaboost,pc1,pc2,F1_mean,4,0.06,0.048
adaboost,pc1,pc2,F1_mean,5,0.072,0.048
adaboost,pc1,pc2,Precision_mean,1,0.0125,0.025
adaboost,pc1,pc2,Precision_mean,2,0.01875,0.025
adaboost,pc1,pc2,Precision_mean,3,0.025,0.025
adaboost,pc1,pc2,Precision_mean,4,0.03125,0.025
adaboost,pc1,pc2,Precision_mean,5,0.0375,0.025
adaboost,pc1,pc2,Recall_mean,1,0.67,0.73
adaboost,pc1,pc2,Recall_mean,2,0.7,0.73
adaboost,pc1,pc2,Recall_mean,3,0.73,0.73
adaboost,pc1,pc2,Recall_mean,4,0.76,0.73
adaboost,pc1,pc2,Recall_mean,5,0.79,0.73
adaboost,pc1,pc2,Generalizability_mean,1,0.841,0.901
adaboost,pc1,pc2,Generalizability_mean,2,0.871,0.901
adaboost,pc1,pc2,Generalizability_mean,3,0.901,0.901
adaboost,pc1,pc2,Generalizability_mean,4,0.931,0.901
adaboost,pc1,pc2,Generalizability_mean,5,0.961,0.901
adaboost,pc1,pc2,Stability,1,0.779,0.839
adaboost,pc1,pc2,Stability,2,0.809,0.839
adaboost,pc1,pc2,Stability,3,0.839,0.839
adaboost,pc1,pc2,Stability,4,0.869,0.839
adaboost,pc1,pc2,Stability,5,0.899,0.839
adaboost,pc1,pc2,ReliabilityIndex,1,0.846,0.906
adaboost,pc1,pc2,ReliabilityIndex,2,0.876,0.906
adaboost,pc1,pc2,ReliabilityIndex,3,0.906,0.906
adaboost,pc1,pc2,ReliabilityIndex,4,0.936,0.906
adaboost,pc1,pc2,ReliabilityIndex,5,0.966,0.906
adaboost,pc1,pc3,AUC_mean,1,0.746,0.806
adaboost,pc1,pc3,AUC_mean,2,0.776,0.806
adaboost,pc1,pc3,AUC_mean,3,0.806,0.806
adaboost,pc1,pc3,AUC_mean,4,0.836,0.806
adaboost,pc1,pc3,AUC_mean,5,0.866,0.806
adaboost,pc1,pc3,F1_mean,1,0.302,0.362
adaboost,pc1,pc3,F1_mean,2,0.332,0.362
adaboost,pc1,pc3,F1_mean,3,0.362,0.362
adaboost,pc1,pc3,F1_mean,4,0.392,0.362
adaboost,pc1,pc3,F1_mean,5,0.422,0.362
adaboost,pc1,pc3,Precision_mean,1,0.185,0.245
adaboost,pc1,pc3,Precision_mean,2,0.215,0.245
adaboost,pc1,pc3,Precision_mean,3,0.245,0.245
adaboost,pc1,pc3,Precision_mean,4,0.275,0.245
adaboost,pc1,pc3,Precision_mean,5,0.305,0.245
adaboost,pc1,pc3,Recall_mean,1,0.633,0.693
adaboost,pc1,pc3,Recall_mean,2,0.663,0.693
adaboost,pc1,pc3,Recall_mean,3,0.693,0.693
adaboost,pc1,pc3,Recall_mean,4,0.723,0.693
adaboost,pc1,pc3,Recall_mean,5,0.753,0.693
adaboost,pc1,pc3,Generalizability_mean,1,0.855,0.915
adaboost,pc1,pc3,Generalizability_mean,2,0.885,0.915
adaboost,pc1,pc3,Generalizability_mean,3,0.915,0.915
adaboost,pc1,pc3,Generalizability_mean,4,0.945,0.915
adaboost,pc1,pc3,Generalizability_mean,5,0.975,0.915
adaboost,pc1,pc3,Stability,1,0.766,0.826
adaboost,pc1,pc3,Stability,2,0.796,0.826
adaboost,pc1,pc3,Stability,3,0.826,0.826
adaboost,pc1,pc3,Stability,4,0.856,0.826
adaboost,pc1,pc3,Stability,5,0.886,0.826
adaboost,pc1,pc3,ReliabilityIndex,1,0.9,0.95
adaboost,pc1,pc3,ReliabilityIndex,2,0.925,0.95
adaboost,pc1,pc3,ReliabilityIndex,3,0.95,0.95
adaboost,pc1,pc3,ReliabilityIndex,4,0.975,0.95
adaboost,pc1,pc3,ReliabilityIndex,5,1.0,0.95
adaboost,pc1,pc4,AUC_mean,1,0.74,0.8
adaboost,pc1,pc4,AUC_mean,2,0.77,0.8
adaboost,pc1,pc4,AUC_mean,3,0.8,0.8
adaboost,pc1,pc4,AUC_mean,4,0.83,0.8
adaboost,pc1,pc4,AUC_mean,5,0.86,0.8
adaboost,pc1,pc4,F1_mean,1,0.372,0.432
adaboost,pc1,pc4,F1_mean,2,0.402,0.432
adaboost,pc1,pc4,F1_mean,3,0.432,0.432
adaboost,pc1,pc4,F1_mean,4,0.462,0.432
adaboost,pc1,pc4,F1_mean,5,0.492,0.432
adaboost,pc1,pc4,Precision_mean,1,0.25,0.31
adaboost,pc1,pc4,Precision_mean,2,0.28,0.31
adaboost,pc1,pc4,Precision_mean,3,0.31,0.31
adaboost,pc1,pc4,Precision_mean,4,0.34,0.31
adaboost,pc1,pc4,Precision_mean,5,0.37,0.31
adaboost,pc1,pc4,Recall_mean,1,0.651,0.711
adaboost,pc1,pc4,Recall_mean,2,0.681,0.711
adaboost,pc1,pc4,Recall_mean,3,0.711,0.711
adaboost,pc1,pc4,Recall_mean,4,0.741,0.711
adaboost,pc1,pc4,Recall_mean,5,0.771,0.711
adaboost,pc1,pc4,Generalizability_mean,1,0.838,0.898
adaboost,pc1,pc4,Generalizability_mean,2,0.868,0.898
adaboost,pc1,pc4,Generalizability_mean,3,0.898,0.898
adaboost,pc1,pc4,Generalizability_mean,4,0.928,0.898
adaboost,pc1,pc4,Generalizability_mean,5,0.958,0.898
adaboost,pc1,pc4,Stability,1,0.751,0.811
adaboost,pc1,pc4,Stability,2,0.781,0.811
adaboost,pc1,pc4,Stability,3,0.811,0.811
adaboost,pc1,pc4,Stability,4,0.841,0.811
adaboost,pc1,pc4,Stability,5,0.871,0.811
adaboost,pc1,pc4,ReliabilityIndex,1,0.877,0.937
adaboost,pc1,pc4,ReliabilityIndex,2,0.907,0.937
adaboost,pc1,pc4,ReliabilityIndex,3,0.937,0.937
adaboost,pc1,pc4,ReliabilityIndex,4,0.967,0.937
adaboost,pc1,pc4,ReliabilityIndex,5,0.997,0.937
adaboost,pc2,pc1,AUC_mean,1,0.618,0.678
adaboost,pc2,pc1,AUC_mean,2,0.648,0.678
adaboost,pc2,pc1,AUC_mean,3,0.678,0.678
adaboost,pc2,pc1,AUC_mean,4,0.708,0.678
adaboost,pc2,pc1,AUC_mean,5,0.738,0.678
adaboost,pc2,pc1,F1_mean,1,0.128,0.188
adaboost,pc2,pc1,F1_mean,2,0.158,0.188
adaboost,pc2,pc1,F1_mean,3,0.188,0.188
adaboost,pc2,pc1,F1_mean,4,0.218,0.188
adaboost,pc2,pc1,F1_mean,5,0.248,0.188
adaboost,pc2,pc1,Precision_mean,1,0.0545,0.109
adaboost,pc2,pc1,Precision_mean,2,0.08175,0.109
adaboost,pc2,pc1,Precision_mean,3,0.109,0.109
adaboost,pc2,pc1,Precision_mean,4,0.13625,0.109
adaboost,pc2,pc1,Precision_mean,5,0.1635,0.109
adaboost,pc2,pc1,Recall_mean,1,0.628,0.688
