Model,TrainDataset,TestDataset,Train_AUC_mean,AUC_mean,F1_mean,Precision_mean,Recall_mean,Generalizability_mean,Concordance_mean,Stability,ReliabilityIndex,OverfitGap,Repeats,n_features_common
adaboost,pc1,pc2,0.834,0.794,0.048,0.025,0.73,0.901,0.696,0.839,0.906,0.04,5.0,10.0
adaboost,pc1,pc3,0.834,0.806,0.362,0.245,0.693,0.915,0.957,0.826,0.95,0.027,5.0,10.0
adaboost,pc1,pc4,0.834,0.8,0.432,0.31,0.711,0.898,0.914,0.811,0.937,0.034,5.0,10.0
adaboost,pc2,pc1,0.907,0.678,0.188,0.109,0.688,0.886,0.934,0.925,0.958,0.23,5.0,10.0
adaboost,pc2,pc3,0.916,0.734,0.226,0.13,0.869,0.529,0.819,0.536,0.814,0.182,5.0,36.0
adaboost,pc2,pc4,0.916,0.75,0.28,0.164,0.957,0.549,0.83,0.468,0.808,0.166,5.0,36.0
adaboost,pc3,pc1,0.813,0.756,0.289,0.188,0.618,0.937,0.925,0.875,0.956,0.057,5.0,10.0
adaboost,pc3,pc2,0.802,0.828,0.031,0.016,0.678,0.431,0.777,0.483,0.782,-0.025,5.0,36.0
adaboost,pc3,pc4,0.824,0.806,0.418,0.292,0.735,0.41,0.69,0.457,0.76,0.018,5.0,37.0
adaboost,pc4,pc1,0.913,0.645,0.234,0.15,0.527,0.884,0.758,0.791,0.906,0.268,5.0,10.0
adaboost,pc4,pc2,0.927,0.834,0.017,0.009,0.835,0.729,0.87,0.718,0.886,0.092,5.0,36.0
adaboost,pc4,pc3,0.928,0.769,0.335,0.219,0.719,0.784,0.895,0.749,0.905,0.16,5.0,37.0
adaboost,MEAN,MEAN,0.8706666666666667,0.7666666666666667,0.2383333333333333,0.15475,0.73,0.7377500000000001,0.83875,0.7065,0.8806666666666665,0.10408333333333335,5.0,23.166666666666668
catboost,pc1,pc2,1.0,0.835,0.111,0.085,0.183,0.905,0.752,0.821,0.913,0.164,5.0,10.0
catboost,pc1,pc3,1.0,0.764,0.297,0.332,0.269,0.995,0.779,0.915,0.948,0.236,5.0,10.0
catboost,pc1,pc4,1.0,0.745,0.268,0.421,0.197,0.998,0.714,0.908,0.937,0.255,5.0,10.0
catboost,pc2,pc1,0.993,0.662,0.141,0.291,0.093,0.396,0.389,0.898,0.781,0.33,5.0,10.0
catboost,pc2,pc3,0.997,0.707,0.084,0.274,0.05,0.822,0.251,0.909,0.83,0.289,5.0,36.0
catboost,pc2,pc4,0.997,0.614,0.043,0.228,0.024,0.825,0.032,0.911,0.795,0.383,5.0,36.0
catboost,pc3,pc1,0.998,0.813,0.282,0.318,0.255,0.986,0.406,0.881,0.879,0.185,5.0,10.0
catboost,pc3,pc2,1.0,0.776,0.096,0.075,0.139,0.841,0.429,0.845,0.853,0.224,5.0,36.0
catboost,pc3,pc4,1.0,0.746,0.14,0.263,0.096,0.967,0.385,0.854,0.868,0.254,5.0,37.0
catboost,pc4,pc1,1.0,0.687,0.196,0.194,0.197,0.961,0.374,0.93,0.877,0.313,5.0,10.0
catboost,pc4,pc2,1.0,0.845,0.061,0.032,0.583,0.854,0.464,0.918,0.872,0.155,5.0,36.0
catboost,pc4,pc3,1.0,0.699,0.174,0.24,0.136,0.97,0.001,0.851,0.804,0.301,5.0,37.0
catboost,MEAN,MEAN,0.9987499999999999,0.7410833333333334,0.15775,0.22941666666666669,0.1851666666666667,0.8766666666666666,0.41466666666666674,0.8867499999999998,0.8630833333333334,0.2574166666666667,5.0,23.166666666666668
extra_trees,pc1,pc2,0.978,0.862,0.114,0.067,0.374,0.888,0.682,0.966,0.923,0.116,5.0,10.0
extra_trees,pc1,pc3,0.978,0.804,0.374,0.313,0.466,0.995,0.922,0.953,0.978,0.174,5.0,10.0
extra_trees,pc1,pc4,0.978,0.805,0.422,0.434,0.41,0.956,0.498,0.969,0.904,0.173,5.0,10.0
extra_trees,pc2,pc1,0.969,0.729,0.249,0.205,0.317,0.476,0.427,0.949,0.809,0.24,5.0,10.0
extra_trees,pc2,pc3,0.985,0.726,0.109,0.266,0.069,0.642,0.325,0.92,0.815,0.258,5.0,36.0
extra_trees,pc2,pc4,0.985,0.644,0.108,0.294,0.066,0.656,0.121,0.925,0.784,0.341,5.0,36.0
extra_trees,pc3,pc1,0.919,0.79,0.316,0.217,0.582,0.993,0.768,0.973,0.956,0.129,5.0,10.0
extra_trees,pc3,pc2,0.981,0.864,0.095,0.055,0.348,0.859,0.455,0.894,0.868,0.116,5.0,36.0
