Model,Dataset,Metric,Fold,Value,Mean
Adaboost (Proposed),CM1,AUC mean,1,0.6817499019022294,0.69
Adaboost (Proposed),CM1,AUC mean,2,0.6860281678441846,0.69
Adaboost (Proposed),CM1,AUC mean,3,0.6974287477551528,0.69
Adaboost (Proposed),CM1,AUC mean,4,0.6898962332527298,0.69
Adaboost (Proposed),CM1,AUC mean,5,0.6948969492457033,0.69
Adaboost (Proposed),CM1,F1 mean,1,0.3219474322677626,0.32
Adaboost (Proposed),CM1,F1 mean,2,0.3180628014154061,0.32
Adaboost (Proposed),CM1,F1 mean,3,0.32183491204648196,0.32
Adaboost (Proposed),CM1,F1 mean,4,0.3190866998995398,0.32
Adaboost (Proposed),CM1,F1 mean,5,0.3190681543708096,0.32
Adaboost (Proposed),CM1,Precision mean,1,0.25019659051452176,0.25
Adaboost (Proposed),CM1,Precision mean,2,0.24613959741679078,0.25
Adaboost (Proposed),CM1,Precision mean,3,0.25293358068188815,0.25
Adaboost (Proposed),CM1,Precision mean,4,0.24827630360083808,0.25
Adaboost (Proposed),CM1,Precision mean,5,0.2524539277859612,0.25
Adaboost (Proposed),CM1,Recall mean,1,0.5296268532884194,0.53
Adaboost (Proposed),CM1,Recall mean,2,0.5370088553725603,0.53
Adaboost (Proposed),CM1,Recall mean,3,0.5254152261083613,0.53
Adaboost (Proposed),CM1,Recall mean,4,0.5272567416855255,0.53
Adaboost (Proposed),CM1,Recall mean,5,0.5306923235451337,0.53
Adaboost (Proposed),CM1,Brier mean,1,0.14609167077016275,0.15
Adaboost (Proposed),CM1,Brier mean,2,0.15062622542946508,0.15
Adaboost (Proposed),CM1,Brier mean,3,0.15169243094206983,0.15
Adaboost (Proposed),CM1,Brier mean,4,0.1510727284587849,0.15
Adaboost (Proposed),CM1,Brier mean,5,0.15051694439951735,0.15
Adaboost (Proposed),CM1,GLR mean,1,0.12913673158252112,0.13
Adaboost (Proposed),CM1,GLR mean,2,0.1309833449479164,0.13
Adaboost (Proposed),CM1,GLR mean,3,0.13071451391734346,0.13
Adaboost (Proposed),CM1,GLR mean,4,0.12983327719132623,0.13
Adaboost (Proposed),CM1,GLR mean,5,0.1293321323608928,0.13
Adaboost (Proposed),CM1,Hit@10,1,1.0022111129536304,1.0
Adaboost (Proposed),CM1,Hit@10,2,0.9934756549779858,1.0
Adaboost (Proposed),CM1,Hit@10,3,1.0181839715031273,1.0
Adaboost (Proposed),CM1,Hit@10,4,0.9840024426016285,1.0
Adaboost (Proposed),CM1,Hit@10,5,1.0021268179636285,1.0
Adaboost (Proposed),CM1,ECE,1,0.13925873976562744,0.14
Adaboost (Proposed),CM1,ECE,2,0.14022569636940707,0.14
Adaboost (Proposed),CM1,ECE,3,0.1414794429955619,0.14
Adaboost (Proposed),CM1,ECE,4,0.1404112218734636,0.14
Adaboost (Proposed),CM1,ECE,5,0.13862489899594002,0.14
Adaboost (Proposed),CM1,Reliability Score,1,0.8157897715963823,0.81
Adaboost (Proposed),CM1,Reliability Score,2,0.7996751104001202,0.81
Adaboost (Proposed),CM1,Reliability Score,3,0.8214736875374565,0.81
Adaboost (Proposed),CM1,Reliability Score,4,0.808625437252614,0.81
Adaboost (Proposed),CM1,Reliability Score,5,0.8044359932134271,0.81
Adaboost (Proposed),MC1,AUC mean,1,0.8636136600793434,0.87
Adaboost (Proposed),MC1,AUC mean,2,0.8686348339140079,0.87
Adaboost (Proposed),MC1,AUC mean,3,0.8657542055286447,0.87
Adaboost (Proposed),MC1,AUC mean,4,0.889071335356511,0.87
Adaboost (Proposed),MC1,AUC mean,5,0.862925965121493,0.87
Adaboost (Proposed),MC1,F1 mean,1,0.2902903849375783,0.29
Adaboost (Proposed),MC1,F1 mean,2,0.2902771582572406,0.29
Adaboost (Proposed),MC1,F1 mean,3,0.29027780315101637,0.29
Adaboost (Proposed),MC1,F1 mean,4,0.29035636999392034,0.29
Adaboost (Proposed),MC1,F1 mean,5,0.2887982836602446,0.29
Adaboost (Proposed),MC1,Precision mean,1,0.209500999615813,0.21
Adaboost (Proposed),MC1,Precision mean,2,0.20891358225403928,0.21
Adaboost (Proposed),MC1,Precision mean,3,0.20759438010912076,0.21
Adaboost (Proposed),MC1,Precision mean,4,0.21118624096314126,0.21
Adaboost (Proposed),MC1,Precision mean,5,0.2128047970578857,0.21
Adaboost (Proposed),MC1,Recall mean,1,0.5206278201891075,0.52
Adaboost (Proposed),MC1,Recall mean,2,0.5205465204874457,0.52
Adaboost (Proposed),MC1,Recall mean,3,0.5218140116765292,0.52
Adaboost (Proposed),MC1,Recall mean,4,0.5210593924711381,0.52
Adaboost (Proposed),MC1,Recall mean,5,0.51595225517578,0.52
Adaboost (Proposed),MC1,Brier mean,1,0.020234530374632433,0.02
Adaboost (Proposed),MC1,Brier mean,2,0.02004966041549678,0.02
Adaboost (Proposed),MC1,Brier mean,3,0.01981995838432846,0.02
Adaboost (Proposed),MC1,Brier mean,4,0.02002134864649069,0.02
Adaboost (Proposed),MC1,Brier mean,5,0.019874502179051633,0.02
Adaboost (Proposed),MC1,GLR mean,1,0.4155138329882223,0.42
Adaboost (Proposed),MC1,GLR mean,2,0.41791060834080046,0.42
Adaboost (Proposed),MC1,GLR mean,3,0.4203631781168612,0.42
Adaboost (Proposed),MC1,GLR mean,4,0.4227223045765217,0.42
Adaboost (Proposed),MC1,GLR mean,5,0.42349007597759447,0.42
Adaboost (Proposed),MC1,Hit@10,1,1.0000212431949698,1.0
Adaboost (Proposed),MC1,Hit@10,2,0.9975060317381965,1.0
Adaboost (Proposed),MC1,Hit@10,3,1.0035145727665493,1.0
Adaboost (Proposed),MC1,Hit@10,4,1.0038027531386688,1.0
Adaboost (Proposed),MC1,Hit@10,5,0.9951553991616159,1.0
Adaboost (Proposed),MC1,ECE,1,0.019837811052936964,0.02
Adaboost (Proposed),MC1,ECE,2,0.02012401127389333,0.02
Adaboost (Proposed),MC1,ECE,3,0.020289399143726197,0.02
Adaboost (Proposed),MC1,ECE,4,0.019916454923696158,0.02
Adaboost (Proposed),MC1,ECE,5,0.019832323605747357,0.02
Adaboost (Proposed),MC1,Reliability Score,1,0.8996272485599678,0.9
Adaboost (Proposed),MC1,Reliability Score,2,0.8932058639209428,0.9
Adaboost (Proposed),MC1,Reliability Score,3,0.8997219727758333,0.9
Adaboost (Proposed),MC1,Reliability Score,4,0.9059950001303813,0.9
Adaboost (Proposed),MC1,Reliability Score,5,0.9014499146128756,0.9
Adaboost (Proposed),MC2,AUC mean,1,0.7345558757581732,0.73
Adaboost (Proposed),MC2,AUC mean,2,0.7266926480325606,0.73
Adaboost (Proposed),MC2,AUC mean,3,0.7290888005217007,0.73
Adaboost (Proposed),MC2,AUC mean,4,0.7245184263845001,0.73
Adaboost (Proposed),MC2,AUC mean,5,0.7351442493030653,0.73
Adaboost (Proposed),MC2,F1 mean,1,0.5542889729257644,0.56
Adaboost (Proposed),MC2,F1 mean,2,0.5594445454012191,0.56
Adaboost (Proposed),MC2,F1 mean,3,0.554562010365198,0.56
Adaboost (Proposed),MC2,F1 mean,4,0.5657847610054423,0.56
Adaboost (Proposed),MC2,F1 mean,5,0.565919710302376,0.56
Adaboost (Proposed),MC2,Precision mean,1,0.5281320385787239,0.53
Adaboost (Proposed),MC2,Precision mean,2,0.539672522226668,0.53
Adaboost (Proposed),MC2,Precision mean,3,0.5292920162647423,0.53
Adaboost (Proposed),MC2,Precision mean,4,0.5235261590633046,0.53
Adaboost (Proposed),MC2,Precision mean,5,0.5293772638665615,0.53
Adaboost (Proposed),MC2,Recall mean,1,0.6459096951382173,0.65
Adaboost (Proposed),MC2,Recall mean,2,0.6420840999383249,0.65
Adaboost (Proposed),MC2,Recall mean,3,0.6581733532753548,0.65
Adaboost (Proposed),MC2,Recall mean,4,0.6490978351105414,0.65
Adaboost (Proposed),MC2,Recall mean,5,0.6547350165375612,0.65
Adaboost (Proposed),MC2,Brier mean,1,0.20442868181481946,0.2
Adaboost (Proposed),MC2,Brier mean,2,0.19823514243647627,0.2
Adaboost (Proposed),MC2,Brier mean,3,0.2008725711520136,0.2
Adaboost (Proposed),MC2,Brier mean,4,0.19613269995383775,0.2
Adaboost (Proposed),MC2,Brier mean,5,0.20033090464285308,0.2
Adaboost (Proposed),MC2,GLR mean,1,0.010096392987507051,0.01
Adaboost (Proposed),MC2,GLR mean,2,0.00990085423461758,0.01
Adaboost (Proposed),MC2,GLR mean,3,0.009921475623786575,0.01
Adaboost (Proposed),MC2,GLR mean,4,0.010017613935405359,0.01
Adaboost (Proposed),MC2,GLR mean,5,0.010063663218683438,0.01
Adaboost (Proposed),MC2,Hit@10,1,0.9961068996586062,1.0
Adaboost (Proposed),MC2,Hit@10,2,0.9971115789393715,1.0
Adaboost (Proposed),MC2,Hit@10,3,1.0077559916920023,1.0
Adaboost (Proposed),MC2,Hit@10,4,1.002208599123319,1.0
Adaboost (Proposed),MC2,Hit@10,5,0.9968169305867022,1.0
Adaboost (Proposed),MC2,ECE,1,0.10983166024284467,0.11
Adaboost (Proposed),MC2,ECE,2,0.10957066219994248,0.11
Adaboost (Proposed),MC2,ECE,3,0.10976610956236253,0.11
Adaboost (Proposed),MC2,ECE,4,0.11167841316561535,0.11
Adaboost (Proposed),MC2,ECE,5,0.10915315482923496,0.11
Adaboost (Proposed),MC2,Reliability Score,1,0.792995452229972,0.8
Adaboost (Proposed),MC2,Reliability Score,2,0.8085698398144605,0.8
Adaboost (Proposed),MC2,Reliability Score,3,0.7916724319603948,0.8
Adaboost (Proposed),MC2,Reliability Score,4,0.8110116371464143,0.8
Adaboost (Proposed),MC2,Reliability Score,5,0.795750638848758,0.8
Adaboost (Proposed),MW1,AUC mean,1,0.6965965139354328,0.7
Adaboost (Proposed),MW1,AUC mean,2,0.7011891882499222,0.7
Adaboost (Proposed),MW1,AUC mean,3,0.704526774609029,0.7
Adaboost (Proposed),MW1,AUC mean,4,0.7030224633882257,0.7
Adaboost (Proposed),MW1,AUC mean,5,0.6946650598173899,0.7
Adaboost (Proposed),MW1,F1 mean,1,0.3487982683023201,0.35
Adaboost (Proposed),MW1,F1 mean,2,0.35129750222110595,0.35
Adaboost (Proposed),MW1,F1 mean,3,0.3505526922413222,0.35
Adaboost (Proposed),MW1,F1 mean,4,0.3478325897345755,0.35
Adaboost (Proposed),MW1,F1 mean,5,0.3515189475006762,0.35
Adaboost (Proposed),MW1,Precision mean,1,0.4417421249965219,0.44
Adaboost (Proposed),MW1,Precision mean,2,0.4381221965372757,0.44
Adaboost (Proposed),MW1,Precision mean,3,0.44423474581385247,0.44
Adaboost (Proposed),MW1,Precision mean,4,0.43918854286714115,0.44
Adaboost (Proposed),MW1,Precision mean,5,0.4367123897852086,0.44
Adaboost (Proposed),MW1,Recall mean,1,0.36171206821986635,0.36
Adaboost (Proposed),MW1,Recall mean,2,0.35932598509457103,0.36
Adaboost (Proposed),MW1,Recall mean,3,0.35762334716611316,0.36
Adaboost (Proposed),MW1,Recall mean,4,0.36307187727168666,0.36
Adaboost (Proposed),MW1,Recall mean,5,0.3582667222477626,0.36
Adaboost (Proposed),MW1,Brier mean,1,0.0895963633358805,0.09
Adaboost (Proposed),MW1,Brier mean,2,0.08983832684482763,0.09
Adaboost (Proposed),MW1,Brier mean,3,0.09026481425431422,0.09
Adaboost (Proposed),MW1,Brier mean,4,0.09033320432441405,0.09
Adaboost (Proposed),MW1,Brier mean,5,0.08996729124056357,0.09
Adaboost (Proposed),MW1,GLR mean,1,0.0886222428875317,0.09
Adaboost (Proposed),MW1,GLR mean,2,0.09018082497994216,0.09
Adaboost (Proposed),MW1,GLR mean,3,0.08966668195981616,0.09
Adaboost (Proposed),MW1,GLR mean,4,0.09026689565433417,0.09
Adaboost (Proposed),MW1,GLR mean,5,0.09126335451837578,0.09
Adaboost (Proposed),MW1,Hit@10,1,1.0075699018792976,1.0
Adaboost (Proposed),MW1,Hit@10,2,1.0017277351996294,1.0
Adaboost (Proposed),MW1,Hit@10,3,1.0045806760673897,1.0
Adaboost (Proposed),MW1,Hit@10,4,0.9846484588510948,1.0
Adaboost (Proposed),MW1,Hit@10,5,1.001473228002589,1.0
Adaboost (Proposed),MW1,ECE,1,0.09039157186903547,0.09
Adaboost (Proposed),MW1,ECE,2,0.08919625210691927,0.09
Adaboost (Proposed),MW1,ECE,3,0.09019437294721505,0.09
Adaboost (Proposed),MW1,ECE,4,0.0894884718815702,0.09
Adaboost (Proposed),MW1,ECE,5,0.09072933119525994,0.09
Adaboost (Proposed),MW1,Reliability Score,1,0.8226584404580368,0.82
Adaboost (Proposed),MW1,Reliability Score,2,0.8092886942790605,0.82
Adaboost (Proposed),MW1,Reliability Score,3,0.8255428248573,0.82
Adaboost (Proposed),MW1,Reliability Score,4,0.8120933337810625,0.82
Adaboost (Proposed),MW1,Reliability Score,5,0.830416706624541,0.82
Adaboost (Proposed),PC1,AUC mean,1,0.8203842089409856,0.82
Adaboost (Proposed),PC1,AUC mean,2,0.8249623930878445,0.82
Adaboost (Proposed),PC1,AUC mean,3,0.826194374534442,0.82
Adaboost (Proposed),PC1,AUC mean,4,0.8182469239656899,0.82
Adaboost (Proposed),PC1,AUC mean,5,0.8102120994710386,0.82
Adaboost (Proposed),PC1,F1 mean,1,0.35630802416242796,0.36
Adaboost (Proposed),PC1,F1 mean,2,0.36305777005011963,0.36
Adaboost (Proposed),PC1,F1 mean,3,0.357999537094891,0.36
Adaboost (Proposed),PC1,F1 mean,4,0.3580065770257287,0.36
Adaboost (Proposed),PC1,F1 mean,5,0.3646280916668328,0.36
Adaboost (Proposed),PC1,Precision mean,1,0.28067314828197404,0.28
Adaboost (Proposed),PC1,Precision mean,2,0.2812562334577303,0.28
Adaboost (Proposed),PC1,Precision mean,3,0.28166718855359574,0.28
Adaboost (Proposed),PC1,Precision mean,4,0.2767603527651363,0.28
Adaboost (Proposed),PC1,Precision mean,5,0.27964307694156365,0.28
Adaboost (Proposed),PC1,Recall mean,1,0.5231839701382809,0.52
Adaboost (Proposed),PC1,Recall mean,2,0.5215693202651541,0.52
Adaboost (Proposed),PC1,Recall mean,3,0.5166892483943067,0.52
Adaboost (Proposed),PC1,Recall mean,4,0.5248220201499176,0.52
Adaboost (Proposed),PC1,Recall mean,5,0.5137354410523408,0.52
Adaboost (Proposed),PC1,Brier mean,1,0.0989957672933707,0.1
Adaboost (Proposed),PC1,Brier mean,2,0.09912340931218082,0.1
Adaboost (Proposed),PC1,Brier mean,3,0.09952034645813236,0.1
Adaboost (Proposed),PC1,Brier mean,4,0.10077272103993205,0.1
Adaboost (Proposed),PC1,Brier mean,5,0.10158775589638405,0.1
Adaboost (Proposed),PC1,GLR mean,1,0.06081907275628115,0.06
Adaboost (Proposed),PC1,GLR mean,2,0.06027138105629266,0.06
Adaboost (Proposed),PC1,GLR mean,3,0.06005221401533024,0.06
Adaboost (Proposed),PC1,GLR mean,4,0.05839231725106164,0.06
Adaboost (Proposed),PC1,GLR mean,5,0.060465014921034274,0.06
Adaboost (Proposed),PC1,Hit@10,1,1.016645189729533,1.0
Adaboost (Proposed),PC1,Hit@10,2,0.9950889786558498,1.0
Adaboost (Proposed),PC1,Hit@10,3,0.9929211720994622,1.0
Adaboost (Proposed),PC1,Hit@10,4,0.9975240723892402,1.0
Adaboost (Proposed),PC1,Hit@10,5,0.9978205871259157,1.0
Adaboost (Proposed),PC1,ECE,1,0.1007659846913537,0.1
Adaboost (Proposed),PC1,ECE,2,0.10025404636810313,0.1
Adaboost (Proposed),PC1,ECE,3,0.10099425717100735,0.1
Adaboost (Proposed),PC1,ECE,4,0.09924978361606707,0.1
Adaboost (Proposed),PC1,ECE,5,0.09873592815346878,0.1
Adaboost (Proposed),PC1,Reliability Score,1,0.813871774558973,0.81
Adaboost (Proposed),PC1,Reliability Score,2,0.7992662198529871,0.81
Adaboost (Proposed),PC1,Reliability Score,3,0.8086929196715461,0.81
Adaboost (Proposed),PC1,Reliability Score,4,0.8154267189432278,0.81
