Train,Test,Model,n_common_features,AUC,F1,Precision,Recall,Brier,GLR,ECE,ReliabilityScore
pc1.arff,pc2.arff,adaboost,10,0.826308,0.048295,0.025074,0.669565,0.062607,-0.024487,0.103321,0.794812
pc1.arff,pc3.arff,adaboost,10,0.802661,0.370541,0.259613,0.65125,0.131387,-0.008073,0.129237,0.788909
pc1.arff,pc4.arff,adaboost,10,0.771981,0.372203,0.317327,0.452809,0.117632,-0.014289,0.086005,0.802283
pc2.arff,pc1.arff,adaboost,10,0.68082,0.299965,0.204337,0.566234,0.158217,-0.11146,0.186276,0.752665
pc2.arff,pc3.arff,adaboost,36,0.723181,0.321761,0.261054,0.42,0.155463,0.332914,0.150071,0.838795
pc2.arff,pc4.arff,adaboost,36,0.682503,0.253513,0.241381,0.267416,0.160024,0.340745,0.149252,0.840374
pc3.arff,pc1.arff,adaboost,10,0.7929,0.285234,0.190144,0.587013,0.117779,0.009575,0.164128,0.78022
pc3.arff,pc2.arff,adaboost,36,0.767425,0.097554,0.059346,0.278261,0.023676,0.388659,0.084878,0.869817
pc3.arff,pc4.arff,adaboost,37,0.756319,0.180347,0.263052,0.141573,0.110709,0.430975,0.06646,0.883009
pc4.arff,pc1.arff,adaboost,10,0.691224,0.214529,0.189035,0.251948,0.094374,0.406645,0.100199,0.867708
pc4.arff,pc2.arff,adaboost,36,0.81297,0.070912,0.037889,0.565217,0.060727,0.349663,0.138445,0.845462
pc4.arff,pc3.arff,adaboost,37,0.74473,0.190008,0.20927,0.18,0.117338,0.342244,0.107342,0.854593
pc1.arff,pc2.arff,catboost,10,0.819985,0.106954,0.148422,0.113044,0.007295,0.189159,0.028487,0.855364
pc1.arff,pc3.arff,catboost,10,0.780738,0.325097,0.323534,0.33,0.100381,0.13969,0.083871,0.828658
pc1.arff,pc4.arff,catboost,10,0.79649,0.271864,0.437372,0.2,0.103201,0.101448,0.076765,0.824653
pc2.arff,pc1.arff,catboost,10,0.66701,0.096923,0.458095,0.057143,0.067767,0.043001,0.066955,0.818182
pc2.arff,pc3.arff,catboost,36,0.680369,0.0,0.0,0.0,0.101021,0.111232,0.098582,0.819011
pc2.arff,pc4.arff,catboost,36,0.536852,0.002174,0.033333,0.001124,0.120633,0.149391,0.116186,0.819503
pc3.arff,pc1.arff,catboost,10,0.806524,0.320623,0.314022,0.32987,0.077848,0.197617,0.065274,0.844511
pc3.arff,pc2.arff,catboost,36,0.832578,0.092786,0.121545,0.078261,0.006651,0.028429,0.029616,0.828199
pc3.arff,pc4.arff,catboost,37,0.784204,0.126549,0.316878,0.079776,0.109612,0.095715,0.080168,0.822563
pc4.arff,pc1.arff,catboost,10,0.749215,0.178708,0.188729,0.171428,0.081971,0.146342,0.07953,0.831213
pc4.arff,pc2.arff,catboost,36,0.812395,0.088225,0.053182,0.26087,0.021722,0.0732,0.063083,0.824506
pc4.arff,pc3.arff,catboost,37,0.742254,0.126633,0.194829,0.095,0.10352,0.101614,0.085344,0.821821
pc1.arff,pc2.arff,extra_trees,10,0.893256,0.117081,0.128443,0.113044,0.005212,0.025936,0.012876,0.833364
pc1.arff,pc3.arff,extra_trees,10,0.79899,0.269395,0.332733,0.22875,0.096461,0.147631,0.074705,0.833037
pc1.arff,pc4.arff,extra_trees,10,0.819369,0.213016,0.415098,0.144944,0.104885,0.074402,0.087752,0.816483
pc2.arff,pc1.arff,extra_trees,10,0.713029,0.125652,0.314999,0.080519,0.066465,-0.111239,0.061937,0.794148
pc2.arff,pc3.arff,extra_trees,36,0.725132,0.012181,0.268571,0.00625,0.100833,0.033276,0.099133,0.805502
pc2.arff,pc4.arff,extra_trees,36,0.605242,0.006557,0.12,0.003371,0.120913,0.035765,0.119334,0.799183
pc3.arff,pc1.arff,extra_trees,10,0.813513,0.309283,0.261519,0.37922,0.073227,0.276365,0.062606,0.858526
pc3.arff,pc2.arff,extra_trees,36,0.862099,0.043227,0.043248,0.043478,0.00512,0.05991,0.009983,0.838991
pc3.arff,pc4.arff,extra_trees,37,0.75249,0.165227,0.254513,0.122472,0.119084,0.208006,0.099871,0.83471
pc4.arff,pc1.arff,extra_trees,10,0.71302,0.185028,0.246806,0.148052,0.072276,0.284199,0.067745,0.858118
pc4.arff,pc2.arff,extra_trees,36,0.828043,0.075979,0.043612,0.295652,0.014955,0.113506,0.034375,0.840793
pc4.arff,pc3.arff,extra_trees,37,0.730925,0.116282,0.214249,0.08,0.097732,0.212019,0.079287,0.841574
pc1.arff,pc2.arff,gradient_boosting,10,0.849008,0.027512,0.022063,0.043478,0.00799,0.097087,0.027123,0.840473
pc1.arff,pc3.arff,gradient_boosting,10,0.741961,0.282932,0.351214,0.24125,0.093168,0.111081,0.067195,0.829449
pc1.arff,pc4.arff,gradient_boosting,10,0.726249,0.193885,0.361807,0.134831,0.106706,0.059403,0.083442,0.81542
pc2.arff,pc1.arff,gradient_boosting,10,0.654659,0.087901,0.206128,0.057143,0.068282,0.149817,0.066986,0.835974
pc2.arff,pc3.arff,gradient_boosting,36,0.648332,0.12954,0.349666,0.08,0.099326,0.28284,0.09354,0.849293
pc2.arff,pc4.arff,gradient_boosting,36,0.558713,0.054561,0.215973,0.031461,0.122549,0.293026,0.118761,0.842584
pc3.arff,pc1.arff,gradient_boosting,10,0.776009,0.29106,0.340212,0.257143,0.064095,0.247285,0.036876,0.862256
pc3.arff,pc2.arff,gradient_boosting,36,0.750478,0.072385,0.045995,0.191304,0.014265,0.137761,0.052611,0.838757
pc3.arff,pc4.arff,gradient_boosting,37,0.668202,0.075064,0.185048,0.047191,0.11356,0.275822,0.084814,0.851032
pc4.arff,pc1.arff,gradient_boosting,10,0.630069,0.17807,0.212183,0.155844,0.075155,0.206594,0.065352,0.845982
pc4.arff,pc2.arff,gradient_boosting,36,0.803181,0.100831,0.05723,0.452174,0.023037,0.119776,0.069714,0.830058
pc4.arff,pc3.arff,gradient_boosting,37,0.701397,0.110188,0.232814,0.0725,0.096606,0.202652,0.074776,0.842183
pc1.arff,pc2.arff,lightgbm,10,0.874505,0.122346,0.087661,0.208696,0.009916,0.220888,0.036727,0.857906
pc1.arff,pc3.arff,lightgbm,10,0.763076,0.297735,0.36127,0.25375,0.100885,0.250483,0.077477,0.849255
pc1.arff,pc4.arff,lightgbm,10,0.774102,0.245958,0.43062,0.173033,0.110542,0.183926,0.080381,0.837194
pc2.arff,pc1.arff,lightgbm,10,0.695553,0.192975,0.256948,0.155844,0.078149,0.103722,0.074985,0.825626
pc2.arff,pc3.arff,lightgbm,36,0.694107,0.040807,0.219118,0.0225,0.103828,0.378647,0.102053,0.862424
pc2.arff,pc4.arff,lightgbm,36,0.530944,0.00221,0.066667,0.001124,0.121158,0.394779,0.119737,0.859217
pc3.arff,pc1.arff,lightgbm,10,0.799967,0.266768,0.307399,0.236363,0.068123,0.320732,0.037077,0.87443
pc3.arff,pc2.arff,lightgbm,36,0.777147,0.071655,0.051613,0.130435,0.011407,0.12431,0.063462,0.832898
