Model,Dataset,BaselineMetric,ProposedMetric,W_min_scipy,W_plus,W_minus,W_signed,p_value,significant_0.05,significant_0.01,effect_size_r
Adaboost,MC1,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,MC1,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,MC1,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,MC1,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,MC1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,MC1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,MC1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,MC1,Reliability Index,Reliability Score,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,MC2,AUC mean,AUC mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,MC2,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,MC2,Precision mean,Precision mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,MC2,Recall mean,Recall mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,MC2,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,MC2,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,MC2,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,MC2,Reliability Index,Reliability Score,2.0,2.0,13.0,-11.0,0.1875,False,False,-0.7333333333333333
Adaboost,MW1,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,MW1,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,MW1,Precision mean,Precision mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,MW1,Recall mean,Recall mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,MW1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,MW1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,MW1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,MW1,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,CM1,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,CM1,F1 mean,F1 mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,CM1,Precision mean,Precision mean,6.0,6.0,9.0,-3.0,0.8125,False,False,-0.2
Adaboost,CM1,Recall mean,Recall mean,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,CM1,Generalizability mean,GLR mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,CM1,Concordance mean,Hit@10,0.0,15.0,0.0,15.0,0.0625,False,False,1.0
Adaboost,CM1,Stability,ECE,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,CM1,Reliability Index,Reliability Score,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
Adaboost,PC1,AUC mean,AUC mean,0.0,0.0,15.0,-15.0,0.0625,False,False,-1.0
