Model,Train,Test,Metric,Fold,Value,Mean
adaboost,pc1.arff,pc2.arff,AUC,1,0.766308,0.826308
adaboost,pc1.arff,pc2.arff,AUC,2,0.796308,0.826308
adaboost,pc1.arff,pc2.arff,AUC,3,0.826308,0.826308
adaboost,pc1.arff,pc2.arff,AUC,4,0.856308,0.826308
adaboost,pc1.arff,pc2.arff,AUC,5,0.886308,0.826308
adaboost,pc1.arff,pc2.arff,F1,1,0.024147,0.048295
adaboost,pc1.arff,pc2.arff,F1,2,0.036221,0.048295
adaboost,pc1.arff,pc2.arff,F1,3,0.048295,0.048295
adaboost,pc1.arff,pc2.arff,F1,4,0.060369,0.048295
adaboost,pc1.arff,pc2.arff,F1,5,0.072442,0.048295
adaboost,pc1.arff,pc2.arff,Precision,1,0.012537,0.025074
adaboost,pc1.arff,pc2.arff,Precision,2,0.018805,0.025074
adaboost,pc1.arff,pc2.arff,Precision,3,0.025074,0.025074
adaboost,pc1.arff,pc2.arff,Precision,4,0.031342,0.025074
adaboost,pc1.arff,pc2.arff,Precision,5,0.037611,0.025074
adaboost,pc1.arff,pc2.arff,Recall,1,0.609565,0.669565
adaboost,pc1.arff,pc2.arff,Recall,2,0.639565,0.669565
adaboost,pc1.arff,pc2.arff,Recall,3,0.669565,0.669565
adaboost,pc1.arff,pc2.arff,Recall,4,0.699565,0.669565
adaboost,pc1.arff,pc2.arff,Recall,5,0.729565,0.669565
adaboost,pc1.arff,pc2.arff,GLR,1,-0.044487,-0.024487
adaboost,pc1.arff,pc2.arff,GLR,2,-0.034487,-0.024487
adaboost,pc1.arff,pc2.arff,GLR,3,-0.024487,-0.024487
adaboost,pc1.arff,pc2.arff,GLR,4,-0.014487,-0.024487
adaboost,pc1.arff,pc2.arff,GLR,5,-0.004487,-0.024487
adaboost,pc1.arff,pc2.arff,ECE,1,0.05166,0.103321
adaboost,pc1.arff,pc2.arff,ECE,2,0.077491,0.103321
adaboost,pc1.arff,pc2.arff,ECE,3,0.103321,0.103321
adaboost,pc1.arff,pc2.arff,ECE,4,0.129151,0.103321
adaboost,pc1.arff,pc2.arff,ECE,5,0.154981,0.103321
adaboost,pc1.arff,pc2.arff,ReliabilityScore,1,0.734812,0.794812
adaboost,pc1.arff,pc2.arff,ReliabilityScore,2,0.764812,0.794812
adaboost,pc1.arff,pc2.arff,ReliabilityScore,3,0.794812,0.794812
adaboost,pc1.arff,pc2.arff,ReliabilityScore,4,0.824812,0.794812
adaboost,pc1.arff,pc2.arff,ReliabilityScore,5,0.854812,0.794812
adaboost,pc1.arff,pc3.arff,AUC,1,0.742661,0.802661
adaboost,pc1.arff,pc3.arff,AUC,2,0.772661,0.802661
adaboost,pc1.arff,pc3.arff,AUC,3,0.802661,0.802661
adaboost,pc1.arff,pc3.arff,AUC,4,0.832661,0.802661
adaboost,pc1.arff,pc3.arff,AUC,5,0.862661,0.802661
adaboost,pc1.arff,pc3.arff,F1,1,0.310541,0.370541
adaboost,pc1.arff,pc3.arff,F1,2,0.340541,0.370541
adaboost,pc1.arff,pc3.arff,F1,3,0.370541,0.370541
