Model,Dataset,Train AUC mean,AUC mean,F1 mean,Precision mean,Recall mean,Generalizability mean,Concordance mean,Stability,Reliability Index
Adaboost,MC1,0.97,0.95,0.13,0.07,0.65,1.0,0.64,0.71,0.89
Adaboost,MC2,0.99,0.72,0.51,0.55,0.5,1.0,0.39,0.5,0.81
Adaboost,MW1,0.97,0.78,0.3,0.25,0.42,1.0,0.66,0.51,0.86
Adaboost,CM1,0.95,0.73,0.3,0.25,0.41,1.0,0.78,0.63,0.9
Adaboost,PC1,0.91,0.84,0.34,0.23,0.69,1.0,0.86,0.76,0.94
Adaboost,PC2,0.96,0.85,0.06,0.03,0.55,1.0,0.58,0.59,0.86
Adaboost,PC3,0.86,0.81,0.36,0.26,0.57,1.0,0.77,0.61,0.9
Adaboost,PC4,0.96,0.93,0.59,0.46,0.84,1.0,0.69,0.72,0.9
Adaboost,Mean,0.94,0.83,0.32,0.26,0.58,1.0,0.67,0.63,0.88
CatBoost,MC1,1.0,0.97,0.53,0.54,0.53,1.0,0.55,0.8,0.89
CatBoost,MC2,1.0,0.77,0.52,0.62,0.46,1.0,0.4,0.53,0.82
CatBoost,MW1,1.0,0.79,0.25,0.27,0.26,1.0,0.26,0.5,0.79
CatBoost,CM1,1.0,0.74,0.27,0.3,0.31,1.0,0.4,0.79,0.86
CatBoost,PC1,1.0,0.85,0.35,0.37,0.38,1.0,0.75,0.83,0.93
CatBoost,PC2,0.99,0.77,0.07,0.06,0.08,1.0,0.48,0.66,0.86
CatBoost,PC3,1.0,0.84,0.42,0.45,0.39,1.0,0.57,0.66,0.87
CatBoost,PC4,1.0,0.95,0.66,0.62,0.7,1.0,0.53,0.72,0.88
CatBoost,Mean,1.0,0.83,0.38,0.4,0.39,1.0,0.49,0.69,0.86
Extra Trees,MC1,1.0,0.97,0.36,0.25,0.69,1.0,0.49,0.94,0.91
Extra Trees,MC2,1.0,0.74,0.52,0.6,0.48,1.0,0.34,0.56,0.82
Extra Trees,MW1,1.0,0.78,0.36,0.32,0.45,1.0,0.17,0.81,0.83
