"Model","Train_dataset","Test_dataset","BaseMetric","ProposedMetric","Baseline_mean","Proposed_mean","Difference","Improvement","N_pairs","W_min_scipy","W_plus","W_minus","W_signed","p_value","p_value_two_sided","significant_0.05","effect_size_r"
"adaboost","MEAN","MEAN","AUC_mean","AUC","0.7666670000000001","0.7544183999999999","-0.012248600000000165","-0.012248600000000165","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc1","pc2","AUC_mean","AUC","0.7939999999999999","0.826308","0.032308000000000114","0.032308000000000114","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc1","pc3","AUC_mean","AUC","0.806","0.802661","-0.003339000000000092","-0.003339000000000092","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc1","pc4","AUC_mean","AUC","0.8","0.771981","-0.028019000000000016","-0.028019000000000016","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc2","pc1","AUC_mean","AUC","0.678","0.6808200000000001","0.0028200000000000447","0.0028200000000000447","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc2","pc3","AUC_mean","AUC","0.7340000000000001","0.7231810000000001","-0.010819000000000023","-0.010819000000000023","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc2","pc4","AUC_mean","AUC","0.7500000000000001","0.682503","-0.06749700000000014","-0.06749700000000014","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc3","pc1","AUC_mean","AUC","0.756","0.7929","0.036900000000000044","0.036900000000000044","5","15.0","15.0","0.0","15.0","0.03125","0.0625","True","1.0"
"adaboost","pc3","pc2","AUC_mean","AUC","0.8280000000000001","0.767425","-0.060575000000000045","-0.060575000000000045","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
"adaboost","pc3","pc4","AUC_mean","AUC","0.806","0.7563190000000001","-0.049680999999999975","-0.049680999999999975","5","0.0","0.0","15.0","-15.0","1.0","0.0625","False","-1.0"
